id_pagamento,id_emprestimo,data_pagamento,valor_pago,forma_pagamento
114,1071,2023-07-03,8740.12,TED
115,1035,2025-01-23,8197.65,Boleto
116,723,2024-04-08,5016.57,DOC
117,1312,2024-01-09,6067.22,TED
118,1206,2024-02-12,6511.87,TED
119,1519,2024-04-26,5674.6,DOC
120,1891,2024-08-31,730.6,Boleto
121,29,2023-09-15,6047.19,DOC
122,1638,2023-08-04,5706.33,Pix
123,921,2024-10-14,6114.04,DOC
124,1106,2025-03-20,9759.68,Boleto
125,980,2025-02-19,5463.5,Boleto
126,1824,2024-03-20,9347.5,TED
127,1527,2025-04-14,4211.98,TED
128,2363,2025-03-01,6400.09,DOC
129,1530,2024-06-12,9303.09,Boleto
130,17,2024-08-01,1491.01,Pix
131,1969,2024-08-30,1944.44,Boleto
132,1508,2024-11-26,1726.16,TED
133,2395,2024-10-29,3070.49,DOC
134,1509,2023-09-13,5982.71,DOC
135,1050,2025-05-05,6579.01,Boleto
136,1827,2023-10-02,9809.03,Pix
137,145,2024-01-29,5902.0,Boleto
138,2252,2024-12-12,6874.35,TED
139,1314,2024-09-04,8705.76,Boleto
140,1855,2023-10-08,5309.4,Boleto
141,1069,2023-10-05,6288.09,DOC
142,992,2023-07-11,881.16,Pix
143,279,2025-05-03,6934.71,Boleto
144,1920,2024-09-27,9606.93,DOC
145,1861,2025-01-20,8700.84,Boleto
146,1742,2024-09-20,2514.55,TED
147,489,2023-06-07,2872.33,Pix
148,1550,2024-08-10,776.78,Boleto
149,60,2024-11-19,9309.84,Boleto
150,2331,2024-12-08,494.68,DOC
151,1286,2024-02-10,3383.4,DOC
152,2003,2024-12-07,5462.99,DOC
153,2464,2024-06-17,1280.09,DOC
154,946,2023-11-10,724.22,DOC
155,1837,2023-06-14,4118.57,Pix
156,2338,2024-11-24,2216.91,TED
157,988,2023-10-23,959.98,Pix
158,630,2024-03-15,856.72,TED
159,1541,2023-11-10,4281.28,TED
160,1161,2025-05-14,6420.76,Pix
161,299,2025-04-25,3813.2,DOC
162,1110,2023-08-21,4401.88,TED
163,1846,2024-10-23,6651.75,DOC
164,2200,2025-01-05,8658.18,Boleto
165,2177,2024-12-11,4579.01,DOC
166,635,2024-09-08,5601.91,Boleto
167,1842,2023-07-24,2283.06,Pix
168,1996,2024-07-02,5808.39,Boleto
169,1515,2024-05-23,6883.77,TED
170,1196,2025-03-28,6495.13,TED
171,1168,2023-10-16,8839.08,Boleto
172,874,2024-09-19,9867.87,Boleto
173,780,2024-12-31,1698.8,DOC
174,1051,2024-10-19,6061.2,Pix
175,1969,2024-04-30,8121.47,Boleto
176,2023,2024-09-27,8873.15,DOC
177,132,2024-01-02,1036.6,Boleto
178,1084,2023-08-05,1662.5,Pix
179,404,2024-04-04,487.42,Boleto
180,1311,2024-08-22,4540.53,DOC
181,1069,2024-09-11,7430.05,Boleto
182,365,2024-06-30,5907.86,Pix
183,1263,2023-12-10,9502.64,DOC
184,1839,2024-12-26,6544.84,DOC
185,1207,2025-03-30,2552.51,TED
186,271,2024-05-15,7984.34,Pix
187,737,2025-02-17,1536.46,DOC
188,2184,2024-06-04,9378.76,Boleto
189,667,2025-01-01,5655.59,Boleto
190,1889,2024-01-06,6672.6,Pix
191,2187,2024-03-31,2399.18,Boleto
192,1741,2025-02-08,9825.32,TED
193,2092,2025-03-24,8242.14,Pix
194,1365,2025-02-13,450.15,Pix
195,69,2023-08-29,8651.64,Boleto
196,2067,2024-08-10,5713.51,DOC
197,287,2024-05-13,4383.49,TED
198,1598,2023-12-23,1777.21,DOC
199,1257,2024-01-07,1610.54,TED
200,1409,2023-10-07,8185.44,DOC
201,14,2025-02-23,1606.8,TED
202,1965,2024-07-22,6618.66,TED
203,2129,2023-06-14,942.56,Boleto
204,818,2024-05-02,6596.42,DOC
205,658,2024-04-27,5196.16,Boleto
206,951,2024-05-06,1974.15,DOC
207,89,2023-12-27,7629.05,Boleto
208,1576,2023-06-14,8551.52,DOC
209,992,2024-02-17,7326.52,DOC
210,9,2024-03-29,1140.9,TED
211,1808,2024-06-30,3322.17,TED
212,1194,2024-02-19,2374.9,DOC
213,182,2024-05-30,482.91,TED
214,613,2024-04-29,148.14,Pix
215,1227,2023-06-12,8271.94,TED
216,76,2023-07-20,2530.94,Boleto
217,1472,2024-06-02,8449.37,TED
218,1045,2023-06-27,2481.85,Boleto
219,572,2024-03-03,2470.31,Boleto
220,855,2025-04-05,7371.14,Boleto
221,1177,2024-07-06,4653.19,TED
222,1492,2023-06-02,1758.56,Boleto
223,2386,2023-08-28,750.33,Pix
224,47,2024-02-22,1594.3,Pix
225,1141,2023-11-04,2677.69,TED
226,204,2024-05-23,8788.93,DOC
227,1567,2024-08-22,9103.01,Pix
228,1618,2023-06-14,3638.98,DOC
229,1047,2024-11-17,8968.12,Boleto
230,2472,2024-03-25,3954.64,Pix
231,1645,2025-01-02,1253.03,Boleto
232,539,2024-12-29,6181.88,Boleto
233,330,2024-12-02,3998.92,DOC
234,1896,2024-08-10,7447.65,Pix
235,1451,2024-03-23,8428.32,Pix
236,1725,2023-11-17,5648.96,TED
237,429,2024-09-11,4462.78,Boleto
238,1109,2024-02-28,8079.42,Boleto
239,592,2023-10-04,2633.18,Boleto
240,1228,2025-04-29,9013.86,DOC
241,2176,2024-01-12,4881.05,Pix
242,2306,2025-02-05,3196.75,DOC
243,2378,2024-02-04,7109.12,TED
244,2176,2024-10-08,9875.12,DOC
245,1896,2024-12-06,8909.37,Pix
246,1444,2024-10-11,4047.34,Pix
247,2200,2024-08-07,1446.51,DOC
248,1316,2024-04-20,3535.88,Pix
249,886,2023-08-04,2285.5,DOC
250,2185,2025-04-15,5630.58,Pix
251,14,2023-11-28,9899.55,TED
252,1869,2024-06-05,1418.35,Boleto
253,1308,2024-12-17,5066.47,TED
254,2351,2024-03-09,1816.0,TED
255,736,2024-03-25,1458.33,Boleto
256,233,2024-04-28,8478.62,Pix
257,605,2024-03-15,8320.52,Boleto
258,353,2023-09-18,9367.28,TED
259,231,2023-10-03,3153.3,Boleto
260,300,2023-09-28,6848.75,DOC
261,1586,2024-02-22,1904.85,TED
262,1429,2023-12-26,9950.23,Boleto
263,1809,2025-02-10,8035.59,Pix
264,1123,2025-03-13,1514.13,DOC
265,763,2024-01-31,9464.47,TED
266,2179,2024-09-01,9512.21,DOC
267,712,2024-02-26,7674.92,DOC
268,1436,2024-07-03,5047.0,TED
269,686,2025-03-13,157.32,TED
270,2304,2024-11-20,4501.67,Pix
271,414,2024-09-16,1004.36,Boleto
272,996,2023-08-13,6177.3,Boleto
273,891,2023-09-21,962.0,DOC
274,114,2024-04-09,8869.98,DOC
275,661,2024-11-25,783.56,Pix
276,2399,2023-10-03,5087.56,TED
277,2417,2024-09-11,8594.2,Pix
278,1935,2023-07-14,7489.76,Pix
279,1991,2023-10-11,9783.96,TED
280,2348,2023-12-09,2940.66,Boleto
281,360,2024-10-03,5597.25,TED
282,1134,2024-07-19,587.16,Boleto
283,2324,2024-09-21,4656.32,Pix
284,1463,2024-05-16,3141.68,TED
285,994,2024-08-02,7407.22,Boleto
286,574,2023-08-15,1840.73,Pix
287,1791,2024-04-14,4393.79,Boleto
288,1154,2024-03-03,7088.13,DOC
289,1196,2024-08-14,8109.52,Boleto
290,408,2023-10-10,9582.11,DOC
291,1489,2023-10-03,4967.99,DOC
292,1367,2024-11-09,3553.13,TED
293,1945,2024-04-15,9054.84,TED
294,900,2024-06-07,1205.12,TED
295,1699,2024-03-13,8703.73,Boleto
296,1305,2023-10-16,8564.36,Boleto
297,541,2023-08-08,9358.4,TED
298,2245,2025-01-10,4599.7,Pix
299,371,2023-09-05,3736.32,TED
300,57,2023-11-17,9281.86,Boleto
301,1412,2023-06-12,9126.96,Boleto
302,497,2024-07-21,9460.65,Boleto
303,625,2023-08-03,3856.57,DOC
304,1292,2024-02-19,3525.8,Pix
305,991,2023-09-29,2684.2,DOC
306,297,2023-07-25,8267.44,Pix
307,1229,2025-03-15,8724.53,Pix
308,1328,2025-01-25,6416.61,Boleto
309,721,2023-08-10,6469.01,Pix
310,1459,2025-04-29,4471.68,TED
311,1626,2025-04-11,216.05,Boleto
312,1151,2024-10-20,7393.24,DOC
313,1312,2024-03-11,6815.86,DOC
314,425,2023-06-04,4684.89,Boleto
315,2174,2023-07-24,3086.1,TED
316,2175,2024-10-20,5391.46,DOC
317,94,2024-05-20,3540.14,Pix
318,1139,2024-02-16,983.28,Pix
319,2388,2024-09-17,7054.18,TED
320,1259,2024-03-07,5806.42,Pix
321,1540,2024-01-28,7318.66,Pix
322,648,2024-12-09,4315.56,TED
323,1639,2023-12-25,1436.37,TED
324,535,2025-01-31,3752.63,Boleto
325,1271,2024-05-22,6514.33,Pix
326,1682,2024-03-15,388.85,DOC
327,1987,2024-04-14,3093.46,TED
328,1582,2023-09-21,6571.48,Boleto
329,1507,2024-08-27,3255.49,Pix
330,2235,2024-01-21,9375.63,TED
331,1038,2023-11-09,6609.85,TED
332,2066,2023-08-26,4961.36,DOC
333,308,2024-10-04,2179.16,Boleto
334,1374,2024-11-11,7664.44,DOC
335,1436,2025-02-01,928.75,TED
336,1170,2024-04-08,1075.59,TED
337,2306,2024-08-08,9952.16,TED
338,1541,2024-10-25,130.48,Boleto
339,291,2024-05-13,9015.97,Pix
340,24,2023-09-16,1465.71,TED
341,460,2023-09-06,2942.21,Pix
342,2169,2024-05-12,5199.04,TED
343,2449,2024-02-11,7251.5,Boleto
344,160,2023-10-23,1872.05,Pix
345,2324,2023-12-01,8820.77,DOC
346,1724,2024-01-10,3792.06,Boleto
347,698,2023-09-26,4383.57,Pix
348,963,2023-11-22,6886.89,Boleto
349,1068,2024-02-19,6455.77,TED
350,1671,2024-10-24,504.6,Boleto
351,2052,2024-04-15,9011.54,Boleto
352,2210,2023-07-30,8573.48,DOC
353,1149,2024-08-22,6261.46,DOC
354,744,2023-11-01,3168.43,DOC
355,2030,2023-07-26,6432.59,Pix
356,1522,2024-02-12,216.0,TED
357,187,2024-06-10,696.0,Boleto
358,2239,2023-09-27,4985.76,TED
359,1196,2024-04-22,4211.06,Boleto
360,1476,2025-02-02,3586.56,DOC
361,2339,2024-05-04,5105.81,DOC
362,784,2024-08-15,5901.59,Pix
363,2477,2023-07-31,131.62,TED
364,340,2024-05-22,4211.98,TED
365,2273,2024-08-20,4643.17,DOC
366,75,2025-05-27,1609.2,Pix
367,236,2023-06-08,7784.03,Pix
368,1759,2023-08-10,7199.21,Boleto
369,833,2023-11-24,2128.83,DOC
370,1500,2024-08-30,1297.04,Boleto
371,1914,2024-03-03,6810.75,Pix
372,1934,2024-03-08,5885.06,Boleto
373,2114,2024-04-24,9898.14,DOC
374,1477,2025-03-05,4604.0,Boleto
375,1245,2023-06-02,1690.65,TED
376,711,2024-10-22,4365.23,Pix
377,2234,2024-04-01,8539.8,DOC
378,1119,2024-07-28,5480.7,Pix
379,565,2025-02-23,1799.41,DOC
380,2426,2023-09-21,6380.74,Pix
381,458,2023-06-26,1492.73,Pix
382,212,2024-07-10,5231.61,TED
383,2476,2024-02-23,9460.37,Boleto
384,1262,2023-10-06,5613.71,Pix
385,1710,2025-05-09,8673.65,Boleto
386,546,2023-12-11,7988.39,Boleto
387,1945,2024-06-11,5226.1,Pix
388,591,2023-09-01,2653.52,TED
389,111,2024-07-19,3674.44,Pix
390,700,2023-06-13,8746.5,Boleto
391,146,2023-08-02,148.12,Boleto
392,1310,2023-11-14,4293.91,Pix
393,1614,2023-07-28,1373.95,Pix
394,1897,2025-05-19,5095.43,Pix
395,890,2025-03-26,5481.22,Boleto
396,1821,2024-11-30,3407.68,Pix
397,794,2024-01-09,6798.43,DOC
398,1461,2024-08-29,6838.22,Boleto
399,1214,2023-10-31,2007.45,DOC
400,58,2024-06-04,1218.47,TED
401,185,2023-08-21,7886.4,Boleto
402,2241,2024-08-29,8916.73,TED
403,2140,2024-01-05,3722.27,Pix
404,1154,2024-03-05,688.41,DOC
405,1195,2023-08-11,5853.54,Pix
406,1524,2023-12-24,4532.18,TED
407,2190,2023-12-11,5443.83,Boleto
408,948,2023-07-05,9999.16,Pix
409,1126,2024-05-19,908.04,TED
410,1360,2025-03-29,636.94,DOC
411,563,2024-07-01,9844.23,Pix
412,1710,2025-05-30,187.99,Pix
413,1021,2023-06-01,121.34,TED
414,2453,2023-06-10,8282.82,Boleto
415,1945,2024-12-30,8668.53,TED
416,1005,2024-05-10,801.42,Pix
417,769,2024-04-22,9616.34,TED
418,1624,2023-06-08,2731.25,TED
419,1952,2023-10-27,6605.84,DOC
420,2485,2023-12-22,2237.35,DOC
421,843,2025-05-23,4039.97,TED
422,2367,2024-02-18,6272.4,Boleto
423,1393,2024-02-06,8121.78,DOC
424,908,2024-10-16,9069.17,TED
425,1785,2024-05-25,206.74,DOC
426,693,2024-03-30,5853.08,Pix
427,2185,2023-06-10,1067.93,Boleto
428,1655,2023-11-09,6085.34,Boleto
429,402,2023-10-24,7099.43,Pix
430,2174,2023-07-12,6201.02,Pix
431,2312,2023-09-05,542.1,Boleto
432,1193,2024-08-23,7982.91,Boleto
433,2078,2025-01-15,2821.64,DOC
434,1570,2023-08-21,7893.79,Pix
435,1059,2023-12-05,3042.2,Pix
436,782,2024-10-08,151.53,Pix
437,2063,2024-10-05,6027.6,TED
438,1664,2023-11-11,6007.35,Boleto
439,1090,2023-09-05,9254.4,TED
440,1715,2024-04-07,2511.05,TED
441,1190,2025-02-20,3704.17,Boleto
442,916,2024-12-24,1355.27,DOC
443,1779,2024-04-18,2274.59,TED
444,405,2024-05-06,4309.41,Pix
445,1656,2023-06-01,4382.93,Boleto
446,35,2024-09-22,4656.02,DOC
447,171,2023-10-13,5866.73,Pix
448,2104,2024-07-26,2023.03,Pix
449,1578,2025-03-15,7471.29,Boleto
450,463,2024-01-02,4760.19,Pix
451,880,2023-11-10,619.75,TED
452,1479,2024-05-30,9403.07,DOC
453,800,2024-03-16,8899.7,DOC
454,382,2025-04-04,8322.74,Pix
455,2377,2025-01-31,7146.95,DOC
456,241,2023-09-04,2126.27,DOC
457,1050,2025-03-28,565.14,Pix
458,857,2024-04-27,351.91,Boleto
459,143,2024-12-20,6851.43,TED
460,17,2024-11-09,2615.8,DOC
461,1558,2023-07-16,7098.18,Pix
462,1034,2024-08-24,5591.35,Boleto
463,1352,2023-09-20,3757.9,DOC
464,2380,2024-08-16,7979.96,TED
465,957,2024-04-09,3703.65,Pix
466,783,2024-11-08,1916.95,DOC
467,1362,2024-11-01,3106.14,TED
468,1328,2023-09-27,4589.67,Pix
469,1362,2023-06-02,4765.88,Boleto
470,2072,2024-10-19,2504.74,TED
471,139,2024-10-02,8851.48,Pix
472,160,2023-07-15,647.86,Boleto
473,2015,2025-01-30,9266.07,Pix
474,1662,2024-10-30,4601.76,TED
475,1697,2025-03-04,341.52,DOC
476,576,2024-09-26,5050.56,Pix
477,1850,2024-05-09,5312.02,TED
478,1591,2023-08-25,2761.94,TED
479,2003,2024-06-09,8786.8,Pix
480,1411,2024-04-11,6064.0,TED
481,1684,2024-04-13,9676.85,DOC
482,1519,2024-05-30,6159.85,TED
483,2468,2025-04-05,1651.55,Boleto
484,2264,2023-12-17,9480.94,DOC
485,2332,2023-12-31,3692.62,DOC
486,602,2024-03-18,4669.18,Boleto
487,1586,2025-01-07,2758.98,TED
488,1625,2023-06-25,2105.27,DOC
489,204,2024-08-16,4353.46,TED
490,343,2024-12-13,4922.74,Pix
491,1057,2023-08-19,6819.46,DOC
492,1753,2024-12-21,1785.32,DOC
493,168,2025-02-19,3106.86,DOC
494,1035,2024-02-25,9447.39,DOC
495,1268,2024-02-15,9587.31,Pix
496,1393,2024-11-17,752.84,TED
497,1375,2024-06-27,3431.98,Boleto
498,668,2024-09-19,2442.68,DOC
499,2055,2025-01-27,749.63,TED
500,701,2023-08-21,627.87,Boleto
501,1736,2024-03-02,5611.02,Boleto
502,695,2023-11-06,5660.84,Boleto
503,1143,2023-12-12,6013.35,TED
504,2486,2024-07-31,9718.09,Boleto
505,2209,2024-07-15,1733.38,TED
506,801,2024-07-17,4007.84,Pix
507,186,2025-03-08,4255.86,DOC
508,2485,2023-09-06,8971.3,TED
509,367,2025-04-13,6774.64,DOC
510,1709,2025-02-25,7326.84,Pix
511,2176,2024-08-11,6971.72,DOC
512,1847,2024-04-04,1857.51,Boleto
513,730,2025-05-19,658.63,Pix
514,983,2024-10-13,2772.56,Boleto
515,1232,2023-10-03,9136.37,DOC
516,1326,2025-03-25,645.15,TED
517,2379,2023-12-03,1300.13,Pix
518,2386,2023-11-06,1117.61,DOC
519,20,2023-06-02,3873.07,Boleto
520,924,2024-04-16,6108.19,Boleto
521,1802,2025-01-02,9318.07,DOC
522,1394,2023-07-08,1363.66,Pix
523,1949,2025-03-28,4706.93,DOC
524,5,2024-02-10,5432.52,TED
525,1227,2024-03-28,2328.61,Pix
526,337,2024-09-07,7507.88,Boleto
527,214,2024-06-03,582.03,TED
528,1926,2024-02-25,6019.81,Pix
529,2099,2024-09-05,4838.83,DOC
530,2496,2024-02-20,548.81,DOC
531,615,2024-01-24,7205.39,Pix
532,996,2024-02-18,2143.99,TED
533,1865,2024-03-02,9617.73,TED
534,131,2023-08-07,942.96,TED
535,261,2025-03-12,3947.3,TED
536,79,2023-06-28,5345.92,TED
537,1633,2023-08-24,831.34,DOC
538,1814,2025-04-09,1845.31,Pix
539,665,2023-07-17,9788.85,Boleto
540,1257,2025-03-29,4568.15,DOC
541,1400,2023-09-17,8881.32,Pix
542,2087,2023-12-18,1327.66,TED
543,1024,2024-04-05,9894.95,TED
544,1708,2025-02-18,213.78,TED
545,1274,2025-03-30,7424.91,Boleto
546,555,2023-08-01,8572.0,Pix
547,1717,2024-07-08,995.38,Pix
548,1514,2024-03-31,7518.36,TED
549,475,2024-04-17,7737.72,TED
550,1772,2024-01-18,6395.54,Boleto
551,2447,2023-10-20,3057.71,Pix
552,931,2024-09-29,8711.27,Boleto
553,1044,2023-11-05,418.04,Boleto
554,745,2024-10-20,3292.29,Pix
555,2312,2024-03-21,8306.87,TED
556,2141,2023-12-19,9949.07,Pix
557,2003,2024-12-26,2310.0,TED
558,161,2025-05-17,8430.62,TED
559,2175,2024-06-09,4629.78,Boleto
560,2052,2025-01-08,4889.25,DOC
561,871,2023-07-04,2538.19,Boleto
562,2490,2025-04-20,6812.11,Pix
563,1889,2024-08-22,3390.71,TED
564,546,2023-07-03,240.41,Pix
565,1085,2025-04-07,3826.18,Boleto
566,2077,2024-04-22,1806.13,TED
567,1337,2024-12-30,6619.48,TED
568,2211,2023-06-03,7894.38,DOC
569,1906,2024-12-14,2703.77,TED
570,304,2024-07-19,3520.7,Pix
571,992,2023-07-15,6956.77,Boleto
572,1029,2024-04-26,9901.82,TED
573,1218,2023-11-14,4347.77,DOC
574,586,2023-10-31,8906.38,Boleto
575,332,2023-09-27,4588.57,Pix
576,663,2023-11-03,9997.28,Boleto
577,731,2024-06-18,4578.59,TED
578,97,2024-10-19,496.3,TED
579,1987,2025-01-13,8844.1,DOC
580,125,2023-10-25,8634.47,Pix
581,2244,2023-09-07,9206.81,Boleto
582,49,2024-02-24,2808.81,TED
583,242,2025-02-15,3923.7,TED
584,1463,2024-07-02,4266.8,Pix
585,1220,2023-09-18,7508.54,DOC
586,2469,2024-01-21,6449.17,TED
587,2273,2025-04-01,4377.28,Pix
588,1670,2023-08-22,9796.57,Boleto
589,2462,2024-04-15,4642.14,TED
590,255,2023-12-30,1274.45,Boleto
591,1575,2024-02-17,3423.32,TED
592,1396,2025-04-19,9113.92,DOC
593,1324,2024-02-21,2657.91,DOC
594,24,2023-07-16,3211.89,Pix
595,1905,2023-11-21,1800.36,TED
596,1151,2025-05-05,9339.04,Boleto
597,521,2024-09-06,8182.36,Pix
598,1051,2025-04-22,2133.7,DOC
599,125,2025-01-27,2510.2,Boleto
600,1246,2024-11-27,4085.86,TED
601,17,2025-03-28,2632.33,DOC
602,1233,2023-12-22,9703.05,DOC
603,1439,2023-07-21,7569.5,Pix
604,70,2023-07-13,801.13,Pix
605,290,2023-11-01,659.76,Pix
606,1669,2024-04-08,8701.5,Boleto
607,2198,2023-08-30,8258.45,Boleto
608,911,2025-05-23,727.55,Pix
609,1033,2024-03-13,5185.14,DOC
610,1825,2023-06-19,2597.61,Boleto
611,1542,2023-10-21,6861.05,Pix
612,256,2024-08-07,8202.38,Boleto
613,2336,2024-01-18,646.46,Boleto
614,1479,2024-12-29,7246.6,TED
615,511,2023-09-22,7264.88,TED
616,564,2024-06-30,4073.4,TED
617,2330,2024-06-25,2500.76,Boleto
618,287,2024-01-20,5002.69,DOC
619,1054,2025-03-04,2153.34,TED
620,1194,2025-02-17,7520.58,Boleto
621,136,2023-10-28,6338.04,Boleto
622,1546,2023-08-19,1758.06,Boleto
623,1870,2024-02-23,4425.85,Pix
624,2075,2024-11-24,7380.9,DOC
625,993,2024-10-10,5863.16,TED
626,1105,2024-03-19,9587.06,TED
627,1780,2024-11-20,5914.26,Pix
628,1774,2024-03-07,3280.58,TED
629,695,2024-06-12,1423.98,TED
630,688,2024-01-07,3651.98,Pix
631,2010,2024-02-21,2923.17,DOC
632,710,2023-06-29,5177.31,TED
633,317,2024-01-04,5525.9,DOC
634,1725,2024-10-25,4933.86,Boleto
635,1128,2024-03-12,6800.54,TED
636,1383,2024-09-09,7574.81,DOC
637,2243,2023-10-25,2090.66,Boleto
638,572,2024-02-24,8971.76,TED
639,2333,2025-01-18,788.85,Pix
640,2208,2023-06-20,3483.78,Pix
641,2201,2025-02-25,9193.7,TED
642,1254,2023-09-20,7268.53,Boleto
643,1919,2024-08-26,3095.86,Pix
644,1157,2025-03-24,5281.43,Boleto
645,654,2024-05-03,9425.61,Pix
646,488,2025-02-25,7140.65,Boleto
647,2149,2024-11-27,5156.38,TED
648,949,2024-04-09,2349.27,DOC
649,1723,2025-05-30,593.85,TED
650,602,2024-02-02,6157.05,Pix
651,1099,2024-10-09,917.7,Boleto
652,2301,2023-06-23,8844.96,Boleto
653,1239,2024-01-31,7425.23,Pix
654,2392,2023-09-11,1115.69,Boleto
655,1306,2025-01-19,4961.81,Boleto
656,1075,2024-07-12,661.9,Boleto
657,2037,2023-09-11,4670.27,Pix
658,2074,2024-07-25,3229.7,TED
659,241,2025-04-30,7840.13,DOC
660,2387,2023-11-22,9835.72,Boleto
661,2276,2023-08-08,9520.71,TED
662,1735,2024-02-22,7680.46,DOC
663,2462,2024-02-03,4422.41,Pix
664,703,2024-03-19,954.16,Pix
665,707,2025-04-15,5204.46,Boleto
666,2398,2024-03-30,3848.59,Pix
667,1279,2023-09-03,8028.66,TED
668,880,2023-07-12,7337.85,TED
669,676,2025-03-25,8512.29,DOC
670,1291,2024-06-14,3030.57,Pix
671,1241,2023-12-11,4251.11,Boleto
672,2307,2025-03-22,1101.19,DOC
673,1224,2024-02-16,8055.37,TED
674,1689,2025-01-03,4102.62,TED
675,765,2024-10-27,4871.23,Boleto
676,461,2024-10-13,5242.02,DOC
677,2093,2024-03-11,9212.57,Boleto
678,2449,2024-07-14,1464.54,Pix
